Tipo de convocatoria,Título,Órgano convocante,Localización,Importe,Procedimiento,Actividad,Enlace al detalle de la convocatoria,Enlace original
LICITACION,"Elaboración de proyecto básico y de ejecución, dirección de obra y coordinación de seguridad y salud para la reforma de local para albergar un centro de atención 24 horas a las mujeres víctima de violencia sexual en Logroño",Consejería de Servicios Sociales y Gobernanza Pública,ES230 - La Rioja,"96.711,61 euros",Procedimiento abierto simplificado,"71000000-8 Servicios de arquitectura, construcción, ingeniería e inspección",https://www.larioja.org/contratacion-publica/es/licitaciones/consulta-expedientes?homepage=%3Fp_colateral%3D20-AP-0048%2F2022%26p_dia_ini%3D30%26p_mes_ini%3D03%26p_ano_ini%3D2022%26p_dia_fin%3D30%26p_mes_fin%3D03%26p_ano_fin%3D2022%26p_todas%3DN,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/DRU/2084/elaboracion-de-proyecto-basico-y-de-ejecucion-direccion-de-obra-y-coordinacion-de-seguridad-y-salud-para-la-reforma-de-local-para-albergar-un-centro-de-atencion-24-horas-a-las-mujeres-victima-de-violencia-sexual-en-logrono
LICITACION,Servicios de limpieza vial y recogida y transporte de residuos,Ayuntamiento de Sant Cugat del Vallés,Sant Cugat del Vallés,"176.990.504,08 euros",Procedimiento de contratación abierto,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",https://contractaciopublica.cat/ca/detall-publicacio/200012908,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/DRU/8128/servicios-de-limpieza-vial-y-recogida-y-transporte-de-residuos
AYUDA/SUBVENCION,"RESOLUCIÓN de 6 de agosto de 2024, del Director General de SPRI-Agencia Vasca de Desarrollo Empresarial, por la que se procede a la aprobación, publicación y convocatoria de las bases reguladoras del programa de ayudas «Conectividad de empresas vascas» para el año 2024, cuya línea 1 se enmarca en el Plan de Recuperación, Transformación y Resiliencia, financiado por la Unión Europea – Next Generation EU",Agencia Vasca de Desarrollo Empresarial.-V,AUTONÓMICO - PAÍS VASCO,,,"CIENCIA, TECNOLOGÍA E INNOVACIÓN",https://www.euskadi.eus/web01-bopv/es/bopv2/datos/2024/09/2404082a.pdf,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PAG/348597/resolucion-de-6-de-agosto-de-2024-del-director-general-de-spri-agencia-vasca-de-desarrollo-empresarial-por-la-que-se-procede-a-la-aprobacion-publicacion-y-convocatoria-de-las-bases-reguladoras-del-programa-de-ayudas-conectividad-de-empresas-vascas-para-el-ano-2024-cuya-linea-1-se-enmarca-en-el-plan-de-recuperacion-transformacion-y-resiliencia-financiado-por-la-union-europea-next-generation-eu
LICITACION,Servicios de Formación.,"Empresa de Transformación Agraria S.A.,S.M.E., M.P., (TRAGSA)",España - España,"0,01 euros",Abierto,80500000 Servicios de formación.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=uKI316%2B2Gup7h85%2Fpmmsfw%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/8676306/servicios-de-formacion
LICITACION,"Servicio técnico para la obtención del vuelo fotogramétrico para la producción de ortofotos incluidas en el Plan Nacional de Ortofotografía aérea en el ámbito de Andalucía, Ceuta y Melilla (2 lotes)",Dirección General del Instituto Geográfico Nacional,España - Madrid,"811.166,13 euros",Abierto,71355100 Servicios de fotogrametría.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=KWOTZmtQVFsBPRBxZ4nJ%2Fg%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/8815531/servicio-tecnico-para-la-obtencion-del-vuelo-fotogrametrico-para-la-produccion-de-ortofotos-incluidas-en-el-plan-nacional-de-ortofotografia-aerea-en-el-ambito-de-andalucia-ceuta-y-melilla-2-lotes
LICITACION,Servicio técnico para la obtención del vuelo fotogramétrico para la producción de ortofotos incluidas en el Plan Nacional de Ortofotografía aérea en el ámbito de Extremadura y Murcia (3 lotes),Dirección General del Instituto Geográfico Nacional,España - Madrid,"441.860,28 euros",Abierto,71355100 Servicios de fotogrametría.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=s1PdNR6FQQyiEJrVRqloyA%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/8815555/servicio-tecnico-para-la-obtencion-del-vuelo-fotogrametrico-para-la-produccion-de-ortofotos-incluidas-en-el-plan-nacional-de-ortofotografia-aerea-en-el-ambito-de-extremadura-y-murcia-3-lotes
LICITACION,"Proyecto de implantación del plan de emergencia de la presa de Alcora (Castellón), en el Marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - Castellón/Castelló,"387.450,62 euros",Abierto,45232300 Trabajos de construcción y obras auxiliares de líneas telefónicas y de comunicación.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=jdsWnJtaOwoBPRBxZ4nJ%2Fg%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/10274167/proyecto-de-implantacion-del-plan-de-emergencia-de-la-presa-de-alcora-castellon-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,"Contrato de servicios de redacción de los proyectos de implantación de planes de emergencia y tramitación hasta su aprobación de los planes de emergencia pendientes de aprobación, de las presas de titularidad estatal en la cuenca hidrográfica del Segura, TT.MM. varios (Murcia, Albacete y Alicante), en el Marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - España,"1.995.882,83 euros",Abierto,71311000 Servicios de consultoría en ingeniería civil.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=RLItapnb2l8SugstABGr5A%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/10780809/contrato-de-servicios-de-redaccion-de-los-proyectos-de-implantacion-de-planes-de-emergencia-y-tramitacion-hasta-su-aprobacion-de-los-planes-de-emergencia-pendientes-de-aprobacion-de-las-presas-de-titularidad-estatal-en-la-cuenca-hidrografica-del-segura-tt-mm-varios-murcia-albacete-y-alicante-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
LICITACION,Suministro por Arrendamiento con Opción de Compra y Mantenimiento de Equipamiento para el Servicio de Oftalmología del Departamento de Salud de Valencia Arnau de Vilanova - Llíria.,Departamento de Salud Valencia - Arnau de Vilanova - Llíria. Dirección Económica-Gerencia,España - Valencia/València,"395.184,00 euros",Abierto,33100000 Equipamiento médico. 33122000 Aparatos de oftalmología.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=H05ngyp0UZASugstABGr5A%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/11045563/suministro-por-arrendamiento-con-opcion-de-compra-y-mantenimiento-de-equipamiento-para-el-servicio-de-oftalmologia-del-departamento-de-salud-de-valencia-arnau-de-vilanova-lliria
LICITACION,"Servicio de supervisión, control y vigilancia del suministro y montaje de equipos de recarga para vehículos eléctricos en diversas instalaciones de la Confederación Hidrográfica del Tajo, en el marco del Plan de Recuperación, Transformación y Resiliencia (PRTR)",Secretaría de Estado de Medio Ambiente,España - España,"40.475,04 euros",Abierto,71520000 Servicios de supervisión de obras.,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=PM5jwrAq5hCExvMJXBMHHQ%3D%3D,https://planderecuperacion.gob.es/como-acceder-a-los-fondos/convocatorias/PLC/12805780/servicio-de-supervision-control-y-vigilancia-del-suministro-y-montaje-de-equipos-de-recarga-para-vehiculos-electricos-en-diversas-instalaciones-de-la-confederacion-hidrografica-del-tajo-en-el-marco-del-plan-de-recuperacion-transformacion-y-resiliencia-prtr
